"구분","항목","단위","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"안양","월평균","",".9",".7",".6",".5",".5",".5",".4",".4",".5",".6",".7",".7",".8",".9",".5",".5",".5",".4",".4",".4",".5",".7",".6",".7",".9",".7",".6",".5",".5",".4",".4",".4",".5",".5",".6",".7",".8",".6",".5",".5",".5",".4",".4",".4",".4",".5",".6",".8",".8",".7",".5",".5",".5",".4",".4",".4",".4",".4",".6",".6",".7",".7",".6",".5",".4",".4","0.3**",".3",".4",".5",".6",".7",".6",".6",".5",".5",".4",".4",".3",".4",".5",".5",".6",".7",".7",".7",".6",".5",".4",".4",".4",".4",".5",".5",".6",".6",".7",".7",".5",".4",".4",".4",".3",".4",".4",".5",".7",".7",".8",".7",".6",".5",".5",".4",".4",".4",".4",".4",".6",".7",".7",".7",".5",".5",".5",".5",".4",".4",".4",".5",".6",".7",".6",".6",".6",".4",".4",".5",".4",".4",".4",".4",".5",".6",".6",".5",".5",".4",".4",".3",".3",".3",".2",".3",".4",".4",
"성남","월평균","",".8",".7",".5",".5",".4",".4",".4",".4",".4",".5",".6",".7",".6",".9",".6",".6",".6",".6",".5",".5",".5",".6",".6",".7",".8",".7",".6",".6",".6",".5",".5",".4",".5",".5",".7",".8",".9",".7",".6",".6",".5",".5",".5",".6",".6",".6",".7",".8",".8",".7",".6",".6",".6",".5",".5",".5",".5",".5",".7",".7",".8",".8",".7",".5",".5",".5",".4",".5",".5",".6",".6",".8",".7",".6",".6",".6",".5",".5",".5",".5",".6",".6",".7",".8",".8",".7",".6",".5",".5",".5",".5",".4",".5",".5",".6",".7",".6",".6",".5",".5",".5",".4",".4",".4",".4",".5",".7",".7",".7",".7",".6",".5",".5",".5",".5",".6",".5",".5",".6",".7",".8",".6",".5",".5",".5",".5",".5",".4",".5",".5",".6",".6",".6",".6",".6",".5",".4",".5",".4",".5",".5",".5",".6",".6",".6",".5",".5",".4",".4",".4",".5",".5",".4",".5",".5",".5",
"의정부","월평균","","1.1",".8",".6",".6",".5",".5",".4",".4",".5",".7","1","1","1.1","1.1",".6",".6",".4",".4",".4",".4",".4",".6",".8",".9","1",".8",".6",".6",".5",".4",".4",".5",".5",".7",".9","1","1.2",".7",".6",".7",".5",".5",".5",".5",".5",".6",".9","1.2","1",".8",".8",".6",".5",".4",".4",".4",".5","0.5*",".8",".7",".8",".7",".6",".4",".3",".3",".3",".3",".4",".6",".6",".9",".8",".7",".6",".4",".4",".3",".3",".3",".4",".5",".7",".7",".7",".6",".5",".4",".3",".3",".3",".3",".5",".4",".5",".7",".7",".6",".5",".4",".4",".3",".3",".3",".4",".3",".6",".7",".8",".7",".7",".5",".5",".4",".4",".4",".5",".5",".7",".7",".8",".6",".5",".5",".5",".5",".5",".4",".4",".5",".6",".6",".6",".6",".6",".5",".5",".4",".3",".4",".4",".4",".5",".5",".6",".4",".4",".3",".2",".2",".2",".2",".2",".3",".4",".5",
"광명","월평균","","1",".8",".7",".6",".6",".6",".6",".6",".6",".8",".8",".8",".7",".9",".6",".6",".6",".5",".5",".5",".5",".6",".5",".6",".8",".7",".6",".6",".6",".5",".5",".5",".6",".6",".7",".7",".9",".7",".7",".6",".6",".6",".5",".5",".5",".5",".6",".7",".7",".7",".6",".5",".5",".5",".5",".5",".5",".5",".6",".7",".8",".7",".6",".6",".5",".5",".5",".5",".5",".6",".6",".8",".7",".6",".6",".6",".5",".5",".4",".4",".5",".5",".6",".7",".7",".6",".6",".5",".5",".4",".4",".4",".5",".5",".5",".7",".7",".6",".6",".5",".4",".4",".3",".4",".4",".5",".7",".7",".8",".7",".6",".5",".5",".4",".4",".4",".4",".5",".6",".7",".7",".5",".4",".4",".5",".5",".5",".4",".4",".5",".6",".6",".5",".5",".4",".3",".4",".6",".5",".6",".6",".5",".6",".6",".7",".6",".5",".4",".4",".4",".4",".4",".4",".4",".6",".5",
"안산","월평균","",".7",".7",".5",".5",".5",".5",".4",".5","0.5*","0.6*",".7",".7","0.7*",".9",".5",".6",".5",".5",".4",".4",".4",".6",".6",".7",".8",".7",".6",".5",".5",".4",".4",".4",".5",".6",".7",".7",".9",".7",".6",".6",".5",".5",".4",".5",".5",".6","0.7**",".8",".8",".7",".6",".6",".5",".4",".5",".5",".5",".5",".6",".6",".7",".7",".6",".5",".4",".4",".4","0.4*",".4",".5",".6",".7",".6",".6",".5",".5",".5",".4",".4","0.4*",".4",".5",".5",".6",".6",".6",".5",".4",".4",".4",".4",".4",".5",".5",".5",".6",".6",".6",".5",".4",".4",".4",".3",".3",".4",".5",".6",".6",".7",".6",".6",".4",".4",".4",".4",".4",".5",".5",".6",".6",".7",".6",".5",".4",".4",".4",".3",".2",".3",".4",".5",".5",".5",".5",".5",".4",".3",".4",".3",".3",".3",".4",".5",".5",".6",".5",".4",".4",".3",".2",".3",".2",".3",".4",".5",".5",
"평택","월평균","",".6",".5",".4",".4",".4",".4",".4",".4",".3",".5",".5",".6",".6",".7",".4",".4",".4",".3",".2",".3",".3",".4",".4",".6",".6",".5",".5",".4",".4",".3",".3",".3",".4",".4",".5",".6",".7",".5",".4",".4",".4",".4",".3",".4",".4",".4",".4",".5",".6",".5",".4",".4",".4",".3",".3",".3",".3",".3",".5",".5",".6",".6",".5",".4",".4",".3",".3",".5",".4",".5",".5",".6",".6",".5",".5",".5",".4",".4",".3",".4",".4",".4",".5",".5",".5",".5",".5",".5",".5",".4",".4",".5",".5",".5",".5",".6",".6",".6",".5","0.4*","0.5*",".4",".4",".4",".4",".4",".4",".5",".6",".5",".5",".4",".4",".3",".3",".3",".3",".3",".4",".5",".5",".4",".4",".4",".4",".4",".4",".3",".4",".4",".5",".5",".5",".5",".4",".4",".4",".4",".3",".4",".4",".4",".5",".5",".5",".4",".4",".3",".3",".2",".3",".2",".3",".3",".4",".4",
"과천","월평균","",".9",".8",".6",".5",".6",".6",".4",".5",".6",".6",".7",".7",".7",".9",".5",".5",".6",".6",".6",".6",".6",".6",".6",".8",".9",".7",".6",".6",".6",".6",".5",".5",".6",".7",".8",".9","1.1",".8",".7",".6",".6",".6",".6",".6",".6",".6",".8",".9",".9",".8",".6",".6",".6",".5",".5",".5",".5",".5",".7",".7",".9",".8",".6",".5",".5",".5",".4",".5",".5",".6",".6",".9",".7",".7",".6",".5",".5",".5",".5",".5",".5",".6",".7",".8",".8",".7",".6",".5",".5",".5",".5",".5",".6",".5",".6",".7",".8",".7",".6",".5",".5",".5",".4",".4",".4",".5",".7",".7",".9",".8",".7",".5",".5",".5",".5",".5",".5",".5",".7",".7",".8",".6",".5",".4",".5",".5",".4",".4",".4",".5",".6",".6",".6",".6",".6",".4",".4",".5",".4",".5",".5",".5",".7",".7",".7",".6","0.5**","0.4*",".3",".3",".3",".3",".3",".4",".5",".6",
"구리","월평균","","1.1",".7",".5",".5",".6",".6",".5",".4",".5",".7",".9",".9",".9","1",".6",".6",".5",".4",".5",".4",".5",".7",".7",".9",".9",".8",".7",".6",".5",".5",".4",".7",".8",".9",".9","1.1","1.1",".9",".7",".6",".6",".5",".5",".4",".3",".4",".6",".7",".8",".7",".6",".5",".5",".4",".3",".3",".4",".4",".6",".7",".7",".7",".6",".4",".5",".4",".3",".3",".4","0.6*",".5",".6",".6",".5",".5",".4",".4",".4",".3",".3",".3",".4",".5",".5",".6",".5",".5",".4",".3",".3",".3",".3",".3",".3",".5",".6",".6",".5",".5",".4",".3",".3",".2",".3",".3",".3",".5",".5",".6",".5",".5",".4",".4","0.3*",".3",".3",".3",".3",".4",".5",".5",".4",".4",".4",".4",".4",".4",".3",".3",".4",".4",".4",".4",".4",".4",".3",".3",".3",".3",".3",".3",".3",".4","0.4*",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",
"의왕","월평균","","1.1",".8",".7",".6",".7",".6",".5",".6",".6",".7",".9","1","1","1.2",".8",".8",".7",".6",".5",".5",".5",".7",".8",".9","1.1","0.9**",".7",".6",".5",".5",".5",".5",".6",".6",".8","1","1.1",".8",".7",".6",".6",".6",".6",".6",".6",".6",".8","1","1",".9",".7",".7",".6",".5",".5",".5",".5",".5",".8",".9","1",".9",".8",".6",".5",".5",".5",".5",".5",".6","0.7**",".9",".8",".8",".7",".7",".6",".6",".6",".6",".6",".6",".7",".9",".8",".8",".7",".6",".5",".5",".5",".5",".6",".6",".6",".8",".8",".7",".6",".5",".5",".5",".5",".5",".5",".5",".7",".7",".8",".7",".7",".5",".6",".5",".6",".6",".5",".5",".6",".7",".7",".6",".5",".4",".4",".4",".4",".3",".4",".4",".5",".5",".6",".6",".6","0.4**",".5",".5",".5",".5",".5",".5",".5",".5",".6",".5",".5",".4",".4",".4",".4",".4",".4",".4",".5",".5",
"고양","월평균","",".9",".7",".4",".4",".4",".4",".3",".3",".4",".5",".6",".6",".6",".8",".5",".5",".4",".4",".4",".4",".4",".5",".5",".6",".6",".5",".4",".4",".4",".3",".4",".5",".4",".5",".6",".7",".9",".6","0.5*",".5",".5",".5",".4",".4",".4",".4",".4",".6",".6",".6",".5",".4",".4",".3",".4",".3",".3",".3",".5",".5",".6",".6",".5",".4",".4",".4",".4",".4",".4",".5",".5",".7",".6",".5",".5",".4",".4",".4",".4",".3",".4",".4",".5",".6",".6",".5",".5",".4",".4",".4",".4",".3",".4",".4",".5",".6",".6",".6",".5",".4",".4",".3",".3",".3",".3",".4",".6",".6",".7",".6",".5",".4",".5",".4",".3",".3",".3",".4",".5",".6",".6",".5",".5",".4",".4",".4",".4",".3",".4",".4",".5",".6",".5",".5",".6",".4",".4",".4",".4",".4",".4",".4",".5",".6",".6",".5",".5",".4",".3",".3",".3",".3",".3",".3",".4",".5",
"광주","월평균","","1",".8",".6",".6",".6",".6",".6",".7",".5",".6",".8",".9","1.1","1.2",".7",".7",".6",".6",".6",".5",".5",".7",".7",".9","1",".8",".7",".6",".6",".5",".6",".6",".6",".7",".7",".9","1",".8",".8",".7",".7",".7",".8",".8",".6",".7",".8",".9",".9",".7",".7",".6",".5",".5",".4",".6",".5",".5",".9",".9",".9",".9",".8",".6",".6",".6",".5",".6",".5",".7",".7",".9",".9",".8",".6",".6",".6",".6",".6",".5",".5",".5",".7",".8",".8",".8",".7",".6",".5",".5",".6","0.5**",".5",".4",".6",".8",".8",".7",".6",".5",".5",".5",".4",".4",".3",".5",".7",".6",".8",".7",".6",".5",".5",".4",".4",".5",".4",".4",".6",".7",".7",".5",".4",".3",".3",".4",".4",".3",".3",".5",".6",".6",".6",".5",".5",".4",".4",".4",".4",".4",".4",".5",".6",".6",".7",".5",".5",".4",".4",".4",".4",".4",".4",".4",".5",".6",
"군포","월평균","",".7",".7",".5","0.4*",".4",".4",".3",".3",".3",".5",".5",".6",".6",".8",".4",".4",".4",".4",".4",".3",".4",".6",".6",".7",".7",".6",".5",".4",".4",".4",".3",".3",".4",".4",".5",".6",".8",".6",".5",".4",".4",".4",".4",".4",".4",".4",".5",".6",".7",".6",".5",".5",".4",".3",".4",".4",".4",".4",".6",".6",".6",".5",".5",".4",".4",".4",".3",".3",".4",".6",".6",".8",".6",".5",".5",".5",".4",".4",".3",".4",".4",".4",".5",".6",".6",".5",".5",".4",".4",".3",".3",".3",".4",".4",".5",".5",".6",".6",".4",".4",".3",".3",".3",".4",".4",".5",".7",".6",".7",".6",".6",".4",".4",".4",".4","0.4*",".4",".4",".5",".5",".6",".5",".4",".4",".4",".4",".4",".3",".4",".4",".4",".5",".6",".5",".5",".4",".4",".4",".3",".4",".4",".4",".5",".6",".6",".5",".4",".4",".3",".3",".3",".2",".3",".3",".4",".4",
"시흥","월평균","",".9",".7",".6",".6",".5",".5",".5",".4",".5",".6",".7",".8",".8","1",".5",".6",".5",".5",".4",".4",".4",".6",".6",".7",".8",".7",".6",".5",".5",".5",".4",".4",".5",".6",".7",".9","1",".7",".6",".6",".5",".5",".4",".4",".5",".5",".7",".8",".9",".8",".6",".6",".5",".5",".5",".5",".5",".5",".7",".7",".8",".8",".7",".5",".5",".5",".4",".5",".5",".6",".7",".9",".8",".7",".7",".6",".5",".6",".5",".5",".6",".6",".6",".7",".7",".7",".7",".5",".5",".5",".5",".5",".6",".5",".6",".7",".7",".6",".6",".5",".5",".5",".4",".5",".5",".5",".7",".7",".8",".7",".6",".5",".5",".4",".4",".5",".4",".5",".6",".6",".7",".6",".5",".4",".4",".4",".4",".4",".4",".5",".6",".6","0.6*",".6",".6",".5",".5",".5",".5",".4",".4",".5",".5",".6",".6",".4",".4",".4",".3",".3",".3",".3",".4",".4",".5",".5",
"부천","월평균","","1",".8",".6",".5",".5",".5",".4",".4",".5",".6",".8",".7",".7",".9",".5",".5",".5",".4",".4",".4",".4",".6",".6",".7",".8","0.7*",".6",".5",".6",".5",".4",".4",".5",".5",".6",".7",".8",".7",".6",".5",".5",".4",".4",".5",".4",".5",".6",".8",".8",".7",".6",".5",".4",".4",".4",".4",".5",".5",".6",".7",".8",".7",".6",".5",".5",".4",".3",".4",".4",".6",".6",".7",".6",".6",".5",".5",".4",".4",".4",".4",".4",".5",".6",".6",".6",".6",".6",".4",".4",".4",".4",".4",".5",".4",".5",".6",".5",".6",".5",".5","0.5*",".4",".4",".4",".4",".5",".7",".6",".7",".7",".6",".5",".5",".4",".4",".5",".5",".4",".6",".6",".6",".5",".4",".4",".4",".4",".4",".4",".4",".6",".6",".7",".6",".5",".5",".4",".4",".4",".4",".4",".4",".4",".5",".6",".6",".5",".5",".4",".4",".4",".4",".4",".4",".4",".5",".5",
